description,link,store,price
"placa de vídeo palit nvidia geforce rtx 3050 dual, lhr, 8gb, gddr6, dlss, ray tracing, ne63050019p1-190a",https://www.terabyteshop.com.br/produto/20256/placa-de-video-palit-geforce-rtx-3050-dual-8gb-gddr6-dlss-ray-tracing-ne63050019p1-190ad,Terabyte,"R$ 2.299,00"
"placa de vídeo asrock radeon rx 6600 xt challenger d oc, 8gb, gddr6, fsr, ray tracing, 90-ga2tzz-00uanf",https://www.terabyteshop.com.br/produto/19805/placa-de-video-asrock-radeon-rx-6600-xt-challenger-d-oc-8gb-gddr6-fsr-ray-tracing-90-ga2tzz-00uanf,Terabyte,"R$ 2.499,00"
"placa de vídeo pny nvidia geforce rtx 3060 xlr8 gaming revel epic-x rgb dual fan edition, lhr, 12gb, gdd",https://www.terabyteshop.com.br/produto/21440/placa-de-video-pny-nvidia-geforce-rtx-3060-xlr8-gaming-revel-epic-x-rgb-dual-fan-edition-12gb-gddr6-192bit-vcg306012dfxppb,Terabyte,"R$ 2.759,00"
"placa de vídeo asus geforce rtx 3050 phoenix, lhr, 8gb, gddr6, dlss, ray tracing, ph-rtx3050-8g",https://www.terabyteshop.com.br/produto/20296/placa-de-video-asus-geforce-rtx-3050-phoenix-8gb-gddr6-dlss-ray-tracing-90yv0hh2-m0na00,Terabyte,"R$ 2.199,00"
"placa de vídeo msi nvidia geforce, rtx 3050 gaming x, lhr, 8gb gddr6, dlss, ray tracing",https://www.terabyteshop.com.br/produto/20439/placa-de-video-msi-geforce-rtx-3050-gaming-x-lhr-8gb-gddr6-dlss-ray-tracing-912-v397-423,Terabyte,"R$ 2.299,00"
"placa de vídeo gigabyte radeon rx 6500 xt eagle, 4gb, gddr6, fsr, ray tracing, gv-r65xteagle-4gd",https://www.terabyteshop.com.br/produto/20239/placa-de-video-gigabyte-radeon-rx-6500-xt-eagle-4gb-gddr6-fsr-ray-tracing-gv-r65xteagle-4gd,Terabyte,"R$ 1.359,00"
"placa de vídeo asus tuf gaming nvidia geforce rtx 3060 oc v2, lhr, 12gb gddr6, dlss, ray tracing, tuf-rt",https://www.terabyteshop.com.br/produto/17007/placa-de-video-asus-tuf-gaming-geforce-rtx-3060-oc-12gb-gddr6-192bit-tuf-rtx3060-o12g-gaming,Terabyte,"R$ 3.099,00"
"placa de vídeo palit nvidia geforce rtx 3060 ti dual, lhr, 8gb, gddr6, dlss, ray tracing, ne6306t019p2-1",https://www.terabyteshop.com.br/produto/19064/placa-de-video-palit-nvidia-geforce-rtx-3060-ti-dual-lhr-8gb-gddr6-dlss-ray-tracing-ne6306t019p2-190adv1,Terabyte,"R$ 3.799,00"
"placa de vídeo gainward nvidia geforce rtx 3050 ghost oc, lhr, 8gb, gddr6, dlss, ray tracing, ne63050t19",https://www.terabyteshop.com.br/produto/21583/placa-de-video-gainward-nvidia-geforce-rtx-3050-ghost-oc-lhr-8gb-gddr6-dlss-ray-tracing-ne63050t19p1-190ab,Terabyte,"R$ 2.229,00"
"placa de vídeo colorful nvidia geforce gt 730k lp 4gd3-v, gddr3, 64bit",https://www.terabyteshop.com.br/produto/20547/placa-de-video-colorful-geforce-gt-730k-lp-4gd3-v-gddr3-64bit,Terabyte,"R$ 399,00"
