description,link,store,price
placa de vídeo asus geforce gtx 1660 oc phoenix 6gb 192bit gddr5 ph-gtx1660-o6g,https://www.kabum.com.br/produto/117343/placa-de-video-asus-geforce-gtx-1660-oc-phoenix-6gb-192bit-gddr5-ph-gtx1660-o6g,Kabum,"2.656,80"
"placa de vídeo galax nvidia geforce rtx 2060 6gb, gddr6 - 26nrl7hpx7oc",https://www.kabum.com.br/produto/117325/placa-de-video-galax-nvidia-geforce-rtx-2060-6gb-gddr6-26nrl7hpx7oc,Kabum,"3.374,45"
"placa de video 1gb, 5450 pcyes ddr3 64 bits - pj54506401d3lp",https://www.kabum.com.br/produto/117316/placa-de-video-1gb-5450-pcyes-ddr3-64-bits-pj54506401d3lp,Kabum,"359,00"
placa de vídeo gainward geforce gtx 1050 ti 4gb gddr5 128 bit - ne5105t018g1-1070f,https://www.kabum.com.br/produto/117433/placa-de-video-gainward-geforce-gtx-1050-ti-4gb-gddr5-128-bit-ne5105t018g1-1070f,Kabum,"1.189,00"
placa de vídeo pcyes gt 740 4gb ddr5 128 bits - pa740gt12804d5fz,https://www.kabum.com.br/produto/117364/placa-de-video-pcyes-gt-740-4gb-ddr5-128-bits-pa740gt12804d5fz,Kabum,"837,23"
"placa de vídeo afox geforce gt730 4gb, ddr3, 128 bits, low profile, hdmi/dvi/vga - af730-4096d3l5",https://www.kabum.com.br/produto/117354/placa-de-video-afox-geforce-gt730-4gb-ddr3-128-bits-low-profile-hdmi-dvi-vga-af730-4096d3l5,Kabum,"581,23"
placa de vídeo 4gb asus geforce gtx 1650 phoenix ddr5 128bits - ph-gtx1650-o4g,https://www.kabum.com.br/produto/117355/placa-de-video-4gb-asus-geforce-gtx-1650-phoenix-ddr5-128bits-ph-gtx1650-o4g,Kabum,"2.399,00"
"placa de vídeo afox geforce gt730 4gb, ddr3, 128 bits, hdmi, dvi, vga- af730-4096d3l6",https://www.kabum.com.br/produto/117381/placa-de-video-afox-geforce-gt730-4gb-ddr3-128-bits-hdmi-dvi-vga-af730-4096d3l6,Kabum,"592,45"
"placa de vídeo asus nvidia tuf rtx 3090, 24gb, gddr6x - tuf-rtx3090-o24g-gaming",https://www.kabum.com.br/produto/127511/placa-de-video-asus-nvidia-tuf-rtx-3090-24gb-gddr6x-tuf-rtx3090-o24g-gaming,Kabum,"13.999,90"
"placa de vídeo gigabyte nvidia geforce rtx 3070 ti eagle oc, 8gb gddr6x, rgb, dlss, ray tracing - gv-n307teagle oc-8gd",https://www.kabum.com.br/produto/320822/placa-de-video-gigabyte-nvidia-geforce-rtx-3070-ti-eagle-oc-8gb-gddr6x-rgb-dlss-ray-tracing-gv-n307teagle-oc-8gd,Kabum,"4.599,90"
"placa de vídeo msi nvidia geforce gtx 1650 d6 ventus xs ocv1, 4gb, gddr6",https://www.kabum.com.br/produto/129381/placa-de-video-msi-nvidia-geforce-gtx-1650-d6-ventus-xs-ocv1-4gb-gddr6,Kabum,"1.599,90"
"placa de vídeo asus nvidia geforce rtx3090, 24gb, gddr6 - tuf-rtx3090-24g-gaming",https://www.kabum.com.br/produto/121139/placa-de-video-asus-nvidia-geforce-rtx3090-24gb-gddr6-tuf-rtx3090-24g-gaming,Kabum,"13.999,90"
"placa de vídeo msi nvidia geforce rtx 3090 ventus 3x 24g oc, gddr6x",https://www.kabum.com.br/produto/127408/placa-de-video-msi-nvidia-geforce-rtx-3090-ventus-3x-24g-oc-gddr6x,Kabum,"11.499,90"
"placa de vídeo sapphire pulse amd radeon rx 6600 gaming, 8gb gddr6, hdmi - 11310-01-20g",https://www.kabum.com.br/produto/242348/placa-de-video-sapphire-pulse-amd-radeon-rx-6600-gaming-8gb-gddr6-hdmi-11310-01-20g,Kabum,"3.199,90"
"placa de vídeo gigabyte nvidia geforce rtx 3090 gaming oc 24g, gddr6x - gv-n3090gaming oc-24gd",https://www.kabum.com.br/produto/128199/placa-de-video-gigabyte-nvidia-geforce-rtx-3090-gaming-oc-24g-gddr6x-gv-n3090gaming-oc-24gd,Kabum,"16.299,90"
"placa de vídeo xfx amd rx 580 8gb, gddr5, red dragon power color - 8gbd5-dhdv2/oc",https://www.kabum.com.br/produto/152751/placa-de-video-xfx-amd-rx-580-8gb-gddr5-red-dragon-power-color-8gbd5-dhdv2-oc,Kabum,"3.870,00"
placa de vídeo afox geforce gt 420 2gb ddr3 dvi vga low profile - af420-2048d3l2-v2,https://www.kabum.com.br/produto/150954/placa-de-video-afox-geforce-gt-420-2gb-ddr3-dvi-vga-low-profile-af420-2048d3l2-v2,Kabum,"429,99"
"placa de vídeo afox geforce gt610 2gb, ddr3, 64 bits, low profile, hdmi/dvi/vga - af610-2048d3l7-v5",https://www.kabum.com.br/produto/150968/placa-de-video-afox-geforce-gt610-2gb-ddr3-64-bits-low-profile-hdmi-dvi-vga-af610-2048d3l7-v5,Kabum,"329,90"
"placa de vídeo powercolor red devil, rx 6700xt 12gb, gddr6, hdmi - axrx 6700xt 12gbd6-3dhe/oc",https://www.kabum.com.br/produto/157073/placa-de-video-powercolor-red-devil-rx-6700xt-12gb-gddr6-hdmi-axrx-6700xt-12gbd6-3dhe-oc,Kabum,"5.995,80"
"placa de vídeo colorful gt 710, 2gb ddr3",https://www.kabum.com.br/produto/154488/placa-de-video-colorful-gt-710-2gb-ddr3,Kabum,"339,15"
placa de vídeo amd powercolor radeon reddragon rx 550 2gb ddr5 preto - 2gbd5-dh,https://www.kabum.com.br/produto/163822/placa-de-video-amd-powercolor-radeon-reddragon-rx-550-2gb-ddr5-preto-2gbd5-dh,Kabum,"1.371,80"
"placa de vídeo powercolor radeon rx580 8gb gdd5, red devil, 256bits - axrx580 8gbd5-3dh/oc",https://www.kabum.com.br/produto/157043/placa-de-video-powercolor-radeon-rx580-8gb-gdd5-red-devil-256bits-axrx580-8gbd5-3dh-oc,Kabum,"5.499,00"
"placa de vídeo gpu rtx 3060 revel epic-x, rgb, 12gb, gddr6, 192 bits, single-fan, pny - vcg306012sfxppbtf",https://www.kabum.com.br/produto/166421/placa-de-video-gpu-rtx-3060-revel-epic-x-rgb-12gb-gddr6-192-bits-single-fan-pny-vcg306012sfxppbtf,Kabum,"7.109,97"
"placa de video afox amd radeon r5 230, 2gb, ddr3, low profile - afr5230-2048d3l4",https://www.kabum.com.br/produto/161714/placa-de-video-afox-amd-radeon-r5-230-2gb-ddr3-low-profile-afr5230-2048d3l4,Kabum,"339,90"
"placa de vídeo asus geforce gtx 1660 6gb super oc edition phoenix, gddr6, 192 bits - ph-gtx1660s-o6g",https://www.kabum.com.br/produto/160855/placa-de-video-asus-geforce-gtx-1660-6gb-super-oc-edition-phoenix-gddr6-192-bits-ph-gtx1660s-o6g,Kabum,"2.331,50"
"placa de vídeo galax nvidia geforce gtx 1650, 4gb gddr6, 1-click oc - 65sql8ds66e6",https://www.kabum.com.br/produto/166989/placa-de-video-galax-nvidia-geforce-gtx-1650-4gb-gddr6-1-click-oc-65sql8ds66e6,Kabum,"1.999,89"
"placa de vídeo duex geforce gtx 1050 ti, 4gb, gddr5, 128 bits - dx gtx1050ti-4gd5",https://www.kabum.com.br/produto/166300/placa-de-video-duex-geforce-gtx-1050-ti-4gb-gddr5-128-bits-dx-gtx1050ti-4gd5,Kabum,"1.979,00"
placa de video knup gt730 2gb 128bit vga/hdmi/dvi kp-gt730,https://www.kabum.com.br/produto/167627/placa-de-video-knup-gt730-2gb-128bit-vga-hdmi-dvi-kp-gt730,Kabum,"787,49"
"placa de vídeo palit, geforce gtx 1660 super gp, 6gb, 192 bits, gddr6 - ne6166s018j9-1160a-1",https://www.kabum.com.br/produto/160867/placa-de-video-palit-geforce-gtx-1660-super-gp-6gb-192-bits-gddr6-ne6166s018j9-1160a-1,Kabum,"4.391,01"
"placa de vídeo palit nvidia geforce gtx 1050 ti stormx, 4gb, gddr5, 128bit, ne5105t018g1-1070f",https://www.kabum.com.br/produto/168189/placa-de-video-palit-nvidia-geforce-gtx-1050-ti-stormx-4gb-gddr5-128bit-ne5105t018g1-1070f,Kabum,"1.448,99"
"placa de vídeo asus geforce gtx 1650 oc 4gb edition phoenix, gddr6, 128 bits - ph-gtx1650-o4gd6",https://www.kabum.com.br/produto/160856/placa-de-video-asus-geforce-gtx-1650-oc-4gb-edition-phoenix-gddr6-128-bits-ph-gtx1650-o4gd6,Kabum,"2.086,81"
"placa de vídeo afox r5 220 radeon 2gb, low profile - afr5220-2048d3l9-v2",https://www.kabum.com.br/produto/161628/placa-de-video-afox-r5-220-radeon-2gb-low-profile-afr5220-2048d3l9-v2,Kabum,"302,73"
"placa de vídeo colorful nvidia geforce rtx 2060 nb-v, 6gb, gddr6, 192bit - 212327110831",https://www.kabum.com.br/produto/162125/placa-de-video-colorful-nvidia-geforce-rtx-2060-nb-v-6gb-gddr6-192bit-212327110831,Kabum,"2.676,65"
