description,link,store,price
"placa de video galax geforce rtx 3080 sg 1-click oc, lhr, 10gb, gddr6x, 320-bit, 38nwm3md99rg-nac",https://www.pichau.com.br/placa-de-video-galax-geforce-rtx-3080-sg-1-click-oc-lhr-10gb-gddr6x-320-bit-38nwm3md99rg-nac,Pichau,"7.299,99"
"placa de video gigabyte geforce rtx 3080 gaming oc, lhr, 10gb, gddr6x, 320-bit, gv-n3080gamingoc-10gd-rev2.0",https://www.pichau.com.br/placa-de-video-gigabyte-geforce-rtx-3080-gaming-oc-lhr-10gb-gddr6x-320-bit-gv-n3080gamingoc-10gd-rev2-0,Pichau,"5.999,90"
"placa de video asus geforce gtx 1650 phoenix oc, 4gb, gddr5, 128-bit, ph-gtx1650-o4g",https://www.pichau.com.br/placa-de-video-asus-geforce-gtx-1650-phoenix-oc-4gb-gddr5-128-bit-ph-gtx1650-o4g,Pichau,"1.449,90"
"placa de video galax geforce rtx 3080 sg 1-click oc, lhr, 10gb, gddr6x, 320-bit, 38nwm3md99rg",https://www.pichau.com.br/placa-de-video-galax-geforce-rtx-3080-sg-1-click-oc-lhr-10gb-gddr6x-320-bit-38nwm3md99rg,Pichau,"6.299,89"
"placa de video gigabyte radeon rx 6800 xt aorus master, 16gb, gddr6, 2‎56-bit, gv-r68xtaorus m-16gd",https://www.pichau.com.br/placa-de-video-gigabyte-radeon-rx-6800-xt-aorus-master-16gb-gddr6-2-56-bit-gv-r68xtaorus-m-16gd,Pichau,"5.799,90"
"placa de video gigabyte radeon rx 6600 eagle, 8gb, gddr6, 128-bit, gv-r66eagle-8gd",https://www.pichau.com.br/placa-de-video-gigabyte-radeon-rx-6600-eagle-8gb-gddr6-128-bit-gv-r66eagle-8gd,Pichau,"2.499,00"
"placa de video gigabyte geforce rtx 3070 aorus master, lhr, 8gb, gddr6, 256-bit, gv-n3070aorus m-8gd rev 2.0",https://www.pichau.com.br/placa-de-video-gigabyte-geforce-rtx-3070-aorus-master-lhr-8gb-gddr6-256-bit-gv-n3070aorus-m-8gd-rev-2-0,Pichau,"6.959,90"
"placa de video galax geforce rtx 3070 1-click oc, lhr, 8gb, gddr6, 256-bit, 37nsl6md2kch",https://www.pichau.com.br/placa-de-video-galax-geforce-rtx-3070-1-click-oc-lhr-8gb-gddr6-256-bit-37nsl6md2kch,Pichau,"3.979,90"
"placa de video sapphire radeon rx 6600 pulse, 8gb, gddr6, 128-bit, 11310-01-20g",https://www.pichau.com.br/placa-de-video-sapphire-radeon-rx-6600-pulse-8gb-gddr6-128-bit-11310-01-20g,Pichau,"2.499,00"
"placa de video galax geforce gtx 1650 ex -click oc, 4gb, gddr6, 128-bit, 65sql8ds66e6-nac",https://www.pichau.com.br/placa-de-video-galax-geforce-gtx-1650-ex-click-oc-4gb-gddr6-128-bit-65sql8ds66e6-nac,Pichau,"1.699,00"
"placa de video galax geforce gtx 1660 1-click oc, 6gb, gddr5, 192-bit, 60srh7dsy91c-nac",https://www.pichau.com.br/placa-de-video-galax-geforce-gtx-1660-1-click-oc-6gb-gddr5-192-bit-60srh7dsy91c-nac,Pichau,"1.817,90"
"placa de video galax geforce gtx 1050 ti 1-click oc, 4gb, gddr5, 128-bit, 50iqh8dsq3cc-nac",https://www.pichau.com.br/placa-de-video-galax-geforce-gtx-1050-ti-1-click-oc-4gb-gddr5-128-bit-50iqh8dsq3cc-nac,Pichau,"1.298,99"
"placa de video asus radeon rx 6600 dual, 8gb, gddr6, 128-bit, dual-rx6600-8g",https://www.pichau.com.br/placa-de-video-asus-radeon-rx-6600-dual-8gb-gddr6-128-bit-dual-rx6600-8g,Pichau,"2.599,00"
